lon,lat,mag,day,month,year,depth
-76.30000305,7.340000153,6.51670742,31,8,1977,30
117.4700012,-11.73999977,5.180659294,1,9,1977,30
126.4100037,26.40999985,5.544426918,2,9,1977,30
119.1500015,-11.03999996,6.165536404,2,9,1977,30
-173.2400055,-15.28999996,5.478708744,3,9,1977,30
-87.52999878,12.53999996,5.658473969,3,9,1977,30
166.7100067,-13.68000031,6.611355782,4,9,1977,30
178.3899994,51.20999908,6.594150543,4,9,1977,30
178.2700043,51.09999847,6.73059988,4,9,1977,30
177.9499969,51.13999939,6.635129452,4,9,1977,30
178.25,51.18000031,5.762340069,4,9,1977,30
118.2600021,-11.13000011,5.335869312,5,9,1977,30
161.0500031,-10.35000038,5.635112286,6,9,1977,30
126.4499969,1.590000033,5.535413742,6,9,1977,30
143.0899963,-6.070000172,5.757597446,6,9,1977,30
119.5100021,-11.10000038,5.493629456,7,9,1977,30
127.5,-1.600000024,5.497568607,7,9,1977,30
131.3600006,42.97999954,5.193241119,9,9,1977,30
-91.68000031,13.94999981,5.486942291,10,9,1977,30
107.0899963,-6.570000172,5.665130138,10,9,1977,30
150.2899933,-59.63000107,5.642320633,11,9,1977,30
-173.2100067,-15.39000034,5.6962924,11,9,1977,30
23.03000069,35.04999924,5.791167736,11,9,1977,30
-14.68999958,-12.77999973,5.554242611,12,9,1977,30
-25.93000031,-59.43999863,5.636729717,12,9,1977,30
-173.2899933,-15.44999981,6.11610508,13,9,1977,30
-25.65999985,-56.38000107,6.10987854,14,9,1977,30
12.97000027,46.27000046,5.366146088,16,9,1977,30
143.1300049,11.77000046,6.207746506,17,9,1977,30
166.75,-13.57999992,5.393554688,18,9,1977,30
126.6299973,-1.980000019,6.239594936,19,9,1977,30
178.0299988,-16.37000084,5.494948387,19,9,1977,30
-177.9900055,-27.79999924,5.530799389,19,9,1977,30
-68.33000183,-23.35000038,5.615830898,20,9,1977,30
-175.2299957,-23.5,5.484223843,21,9,1977,30
-109.1500015,20.03000069,5.813467503,21,9,1977,30
155.2100067,51.75,6.329595089,21,9,1977,30
118.2200012,-11.21000004,5.760241985,23,9,1977,30
128.8300018,-5.760000229,5.366146088,23,9,1977,30
-179.4499969,-21.82999992,5.351403236,25,9,1977,30
117.25,-11.30000019,5.588582516,25,9,1977,30
150.5899963,-60.04000092,6.063932896,26,9,1977,30
-85.83000183,11.25,5.766490936,30,9,1977,30
-172.9299927,-16.04000092,5.93448925,30,9,1977,30
117.5,-10.07999992,5.665130138,1,10,1977,30
121.5699997,11.56999969,5.873037338,2,10,1977,30
-62.31000137,10.40999985,5.236161709,4,10,1977,30
139.7400055,36.09000015,5.351403236,4,10,1977,30
-70.73999786,-28.25,5.471663952,5,10,1977,30
33.40999985,40.95999908,5.789744854,5,10,1977,30
-176.8899994,-29.01000023,5.488292217,5,10,1977,30
-177.7200012,-18.57999992,5.727976799,5,10,1977,30
117.3799973,-11.47999954,5.165459633,5,10,1977,30
117.1699982,-11.18999958,5.498869896,5,10,1977,30
117.3300018,-9.970000267,6.013715744,7,10,1977,30
117.6600037,-10.07999992,5.507818699,7,10,1977,30
117.3199997,-9.949999809,6.418902397,7,10,1977,30
117.3199997,-9.930000305,5.990906715,7,10,1977,30
117.2600021,-9.850000381,5.97879076,7,10,1977,30
117.1600037,-10.01000023,5.614963055,7,10,1977,30
117.2900009,-9.920000076,5.88422823,7,10,1977,30
-74.66000366,-9.520000458,5.418591022,8,10,1977,30
124.4899979,13.32999992,5.944688797,8,10,1977,30
117.2900009,-9.930000305,5.580861092,9,10,1977,30
117.5100021,-10,5.366146088,9,10,1977,30
126.7300034,-7.260000229,5.182600975,9,10,1977,30
-175.4100037,-25.86000061,7.271547318,10,10,1977,30
119.3799973,-11.17000008,5.364085197,12,10,1977,30
144.7200012,-54.52000046,5.817814827,13,10,1977,30
93.34999847,23.47999954,5.40634346,13,10,1977,30
-173.0500031,-15.72000027,6.074791908,14,10,1977,30
167.4100037,-15.36999989,5.74344492,14,10,1977,30
153.9100037,47.04999924,5.870530605,16,10,1977,30
-176.8500061,-30.05999947,5.511570454,16,10,1977,30
117.1200027,-9.729999542,6.228319645,16,10,1977,30
126.8899994,-0.949999988,5.653950214,17,10,1977,30
173.0800018,-27.90999985,6.98191452,17,10,1977,30
-178.4100037,-18.04000092,5.557441711,18,10,1977,30
-173.9600067,-20.75,5.563735962,19,10,1977,30
54.88000107,27.79000092,5.489635944,19,10,1977,30
121.6100006,22.61000061,5.523737431,19,10,1977,30
154.0899963,47.15000153,5.707243443,20,10,1977,30
164.1300049,56.43000031,5.411655903,20,10,1977,30
-72.91999817,7.139999866,5.229983807,22,10,1977,30
-62.97000122,-27.95000076,6.744989395,22,10,1977,30
-179.3999939,-21.68000031,5.348144054,23,10,1977,30
170.3000031,-21.48999977,5.807716846,23,10,1977,30
172.1900024,-63.49000168,5.556379318,24,10,1977,30
117.2200012,-9.68999958,5.521344662,25,10,1977,30
-177.2899933,-15.56999969,5.623529434,26,10,1977,30
-177.3999939,-15.55000019,5.685592651,26,10,1977,30
178.3300018,51.15000153,5.510325432,26,10,1977,30
-128.9700012,-55.31000137,5.690322399,27,10,1977,30
154.6999969,-6.389999866,5.400931358,29,10,1977,30
146.6399994,-6.21999979,6.056460857,29,10,1977,30
118.7300034,-10.21000004,5.613218784,30,10,1977,30
-178.5700073,-20.42000008,5.813029289,30,10,1977,30
166.9499969,-14.86999989,6.153609276,30,10,1977,30
-116.3000031,-49.74000168,5.795860291,2,11,1977,30
-74.76000214,-10.07999992,5.294261932,2,11,1977,30
23.96999931,42.11000061,5.543315411,3,11,1977,30
-175.9499969,51.65999985,6.802130699,4,11,1977,30
