lon,lat,M,time_string,depth,catalog_id,event_id
-117.85567,36.0535,2.71,2019-07-10T00:53:25.760000,1.77,-1,
-117.847,36.0595,2.89,2019-07-10T00:58:38.300000,1.98,-1,
-117.450836,35.633,2.53,2019-07-10T01:16:42.210000,1.47,-1,
-117.69017,35.901833,3.96,2019-07-10T01:43:02.630000,2.48,-1,
-117.6865,35.907166,2.56,2019-07-10T01:44:54.900000,2.55,-1,
-117.687,35.906834,2.88,2019-07-10T01:47:18.750000,2.57,-1,
-117.93816,35.34667,2.9,2019-07-10T01:58:59.140000,0.9,-1,
-117.52683,35.69533,2.67,2019-07-10T02:33:43.690000,9.59,-1,
-117.452835,35.642166,3.56,2019-07-10T03:42:54.950000,10.95,-1,
-117.68266,35.945667,3.03,2019-07-10T04:14:11.790000,3.41,-1,
-117.4605,35.613,2.55,2019-07-10T06:19:33.550000,9.4,-1,
-117.88167,36.118,2.82,2019-07-10T06:20:05.770000,4.03,-1,
-117.7065,35.9075,2.56,2019-07-10T06:21:45.580000,2.12,-1,
-117.855835,36.052166,2.99,2019-07-10T06:24:16.010000,1.53,-1,
-117.84866,36.057167,3.69,2019-07-10T07:05:26.250000,1.68,-1,
-117.72317,35.942,3.03,2019-07-10T07:22:43,2.48,-1,
-117.626,35.826332,2.6,2019-07-10T07:23:28.620000,2.48,-1,
-117.842,36.059334,2.88,2019-07-10T08:21:32.670000,1.6,-1,
-117.54833,35.641335,2.76,2019-07-10T08:51:33.550000,8.19,-1,
-117.5905,35.764668,2.66,2019-07-10T09:08:37.440000,5.99,-1,
-117.456665,35.614166,2.53,2019-07-10T09:09:51.990000,8.05,-1,
-117.54867,35.72283,2.54,2019-07-10T09:13:35.500000,8.1,-1,
-117.616,35.7915,3.01,2019-07-10T09:21:18.110000,6.9,-1,
-117.498,35.663334,3.08,2019-07-10T09:32:08.300000,3.3,-1,
-117.70517,35.88283,2.65,2019-07-10T09:45:52.730000,8.05,-1,
-117.7615,36.033333,3.15,2019-07-10T10:04:20.770000,2.14,-1,
-117.569,35.623333,2.62,2019-07-10T10:13:09.650000,6.18,-1,
-117.5925,35.775665,2.56,2019-07-10T10:18:28.990000,7.43,-1,
-117.68467,35.863667,3.44,2019-07-10T10:58:05.010000,2.87,-1,
-117.382164,35.603,2.51,2019-07-10T11:28:54.320000,2.69,-1,
-117.727,35.888332,2.63,2019-07-10T11:35:57.410000,2.81,-1,
-117.70683,35.8765,3.81,2019-07-10T12:00:05.100000,4.43,-1,
-117.709,35.875168,2.74,2019-07-10T12:00:34.750000,3.79,-1,
-117.5215,35.649834,2.55,2019-07-10T12:10:18.010000,2.82,-1,
-117.856834,36.049835,4.13,2019-07-10T12:28:56.960000,1.88,-1,
