"ev_id","date","time_orig","time_orig_decimals","lat_orig","long_orig","depth","Mb","Ms","region","source_type","bwave_n_stations","bwave_n_inv","bwave_cutoff","mwave_n_stations","mwave_n_inv","mwave_cutoff","swave_n_stations","swave_n_inv","swave_cutoff","dcouple","centroid_time","delta_centroid_time","centroid_lat","delta_centroid_lat","centroid_long","delta_centroid_long","centroid_depth","delta_centroid_depth","prof","half_dur","inv_date_string","exp","mrr","delta_mrr","mss","delta_mss","mee","delta_mee","mrs","delta_mrs","mre","delta_mre","mse","delta_mse","eigen_t","plunge_t","strike_t","eigen_n","plunge_n","strike_n","eigen_p","plunge_p","strike_p","scalar_moment","strike1","dip1","rake1","strike2","dip2","rake2","Mw","status_flag","quality_flag"
"S201006162239A","2010-06-16","22:39:41","0","38.83","16.14","15.00","3.7","0.0","SOUTHERN ITALY	     ","ING","0","0","0","0","0","0","10","13","30","1","0.2","0.5","38.69","0.02","16.14","0.03","17.200","2.000","0","1.0","D-S201006162239A","22","-1.250","0.310","1.910","0.200","-0.670","0.190","0.150","0.240","1.000","0.360","0.660","0.120","2.110","7","344","-0.100","37","249","-2.020","52","83","2.070","109","50","-38","225","62","-133","4.1","D","A"
"C201006202313A","2010-06-20","23:13:52","5","43.78","17.00","10.00","4.5","0.0","NORTHWESTERN BALKAN REGI ","ING","0","0","0","1","1","40","8","11","30","1","2.5","0.7","43.79","0.05","17.02","0.05","30.300","2.800","0","1.0","D-C201006202313A","22","1.390","0.960","-5.190","0.730","3.800","0.540","-0.200","0.670","0.350","0.520","1.230","0.510","4.000","7","277","1.360","83","114","-5.360","2","8","4.680","53","84","4","322","87","174","4.4","D","A"
"S201007092215A","2010-07-09","22:15:10","1","41.17","19.84","12.00","4.8","0.0","ALBANIA                  ","ING","0","0","0","0","0","0","12","20","35","1","3.2","0.3","41.35","0.04","19.86","0.02","34.500","0.800","FREE","1.1","D-S201007092215A","23","1.790","0.150","-1.340","0.130","-0.450","0.090","-0.030","0.080","0.570","0.040","0.850","0.040","1.940","75","283","-0.050","14","124","-1.880","5","32","1.910","107","42","69","315","52","108","4.8","D","A"
"S201007130318A","2010-07-13","03:18:10","3","36.23","21.81","30.00","4.7","0.0","SOUTHERN GREECE          ","ING","0","0","0","0","0","0","11","11","35","1","-0.8","0.7","36.23","0.00","21.81","0.00","12.000","0.000","FIX ","1.1","D-S201007130318A","23","0.380","0.460","0.010","0.400","-0.380","0.370","2.410","0.740","-1.700","0.620","0.000","0.530","3.090","47","32","-0.250","4","126","-2.840","42","219","2.970","2","4","146","126","88","86","4.9","D","A"
"S201007160811A","2010-07-16","08:11:00","7","36.79","26.84","168.00","5.1","0.0","DODECANESEISLANDSGREE ","ING","0","0","0","0","0","0","15","20","35","1","0.3","0.3","36.64","0.03","26.95","0.02","174.500","3.100","FREE","1.4","D-S201007160811A","23","-0.880","0.220","-1.350","0.320","2.220","0.230","-1.290","0.200","3.780","0.170","5.170","0.300","6.710","19","300","0.190","53","182","-6.910","30","41","6.810","78","54","-9","173","83","-144","5.2","D","A"
"C201007161853A","2010-07-16","18:53:10","3","39.31","23.99","10.00","5.1","0.0","AEGEANSEA               ","ING","0","0","0","1","1","40","24","38","35","1","2.8","0.2","39.29","0.01","24.06","0.01","10.000","0.000","FIX ","1.4","D-C201007161853A","23","-0.730","0.100","3.450","0.090","-2.720","0.070","0.220","0.280","0.140","0.270","1.410","0.090","3.770","3","348","-0.740","86","203","-3.030","2","78","3.400","123","86","1","33","89","176","5.0","D","A"
"S201007200310A","2010-07-20","03:10:25","7","35.82","21.86","30.00","4.7","0.0","CENTRALMEDITERRANEAN SE ","ING","0","0","0","0","0","0","17","22","35","1","-1.5","0.3","35.65","0.02","21.86","0.02","28.500","1.500","FREE","1.1","D-S201007200310A","23","0.140","0.220","-0.480","0.170","0.340","0.160","0.670","0.140","0.080","0.130","2.030","0.070","2.120","14","311","0.110","72","91","-2.230","11","218","2.180","354","72","178","85","88","18","4.8","D","A"
"S201008030740A","2010-08-03","07:40:00","5","38.86","21.42","10.00","4.6","0.0","GREECE                   ","ING","0","0","0","0","0","0","6","6","30","1","0.4","0.7","38.86","0.00","21.42","0.00","10.000","0.000","FIX ","1.0","D-S201008030740A","22","-0.550","0.080","0.020","0.100","0.530","0.080","-1.530","0.210","0.040","0.190","-0.290","0.070","1.370","37","201","0.470","14","101","-1.830","50","354","1.600","344","15","-26","99","83","-104","4.1","D","A"
"S201008060237A","2010-08-06","02:37:45","9","34.23","25.03","28.00","4.8","0.0","CRETEGREECE            ","ING","0","0","0","0","0","0","16","20","35","1","4.1","0.8","34.35","0.05","25.07","0.02","14.100","7.700","FREE","1.1","D-S201008060237A","23","-1.570","0.730","0.510","0.380","1.060","0.430","4.230","5.030","-0.640","0.740","-1.020","0.180","4.280","35","25","0.620","13","286","-4.890","52","178","4.580","162","16","-33","284","81","-104","5.0","D","A"
"S201008080406A","2010-08-08","04:06:34","7","34.68","24.39","19.00","4.9","0.0","CRETEGREECE            ","EMS","0","0","0","0","0","0","17","23","35","1","-3.2","0.4","34.55","0.02","24.46","0.01","31.000","1.100","FREE","1.2","D-S201008080406A","23","-1.160","0.230","1.300","0.140","-0.140","0.140","0.090","0.120","-1.220","0.110","1.780","0.080","2.610","10","143","-0.250","45","43","-2.350","43","243","2.480","273","53","-27","20","69","-139","4.9","D","A"
"S201008080900A","2010-08-08","09:00:29","6","40.53","23.62","10.00","4.6","0.0","GREECE                   ","ING","0","0","0","0","0","0","15","25","35","1","2.8","0.3","40.55","0.02","23.61","0.03","10.000","0.000","FIX ","1.0","D-S201008080900A","22","-2.690","0.310","6.830","0.250","-4.140","0.220","-4.220","0.860","2.780","0.700","0.310","0.260","8.470","21","184","-1.530","40","292","-6.940","43","72","7.710","228","42","-161","123","77","-49","4.5","D","A"
"S201008080915A","2010-08-08","09:15:00","9","40.52","23.52","10.00","4.5","0.0","GREECE                   ","ING","0","0","0","0","0","0","13","16","30","1","1.8","0.3","40.55","0.02","23.58","0.05","14.100","2.000","FREE","1.0","D-S201008080915A","22","-2.800","0.490","3.560","0.350","-0.770","0.250","-2.950","0.530","-0.540","0.360","-0.120","0.210","4.720","21","179","-0.670","9","86","-4.050","67","335","4.380","285","25","-69","82","67","-99","4.4","D","A"
"S201008120223A","2010-08-12","02:23:00","3","39.66","27.61","2.00","4.5","0.0","TURKEY                   ","ING","0","0","0","0","0","0","17","34","35","1","2.5","0.2","39.70","0.01","27.61","0.01","10.000","0.000","FIX ","1.0","D-S201008120223A","23","-0.180","0.030","0.890","0.020","-0.700","0.020","-0.220","0.080","-0.030","0.060","-0.420","0.020","1.020","10","193","-0.200","78","53","-0.820","8","285","0.920","329","78","1","239","89","168","4.6","D","A"
"S201008120946A","2010-08-12","09:46:00","8","39.37","20.49","15.00","4.6","0.0","GREECE-ALBANIABORDERRE ","ING","0","0","0","0","0","0","8","8","30","1","0.5","0.7","39.37","0.00","20.49","0.00","21.000","1.600","FREE","1.0","D-S201008120946A","22","5.740","1.180","-2.410","0.580","-3.330","0.840","-0.580","0.430","0.920","0.430","2.100","0.300","5.850","84","242","-0.720","1","141","-5.130","6","51","5.490","140","39","88","322","51","91","4.4","D","A"
"S201008151211A","2010-08-15","12:11:48","4","37.22","20.89","15.00","4.7","0.0","IONIANSEA               ","ING","0","0","0","0","0","0","7","7","30","1","-0.8","0.6","37.04","0.08","20.69","0.09","17.800","6.600","FREE","1.1","D-S201008151211A","22","0.320","0.320","0.670","0.440","-0.990","0.410","0.000","0.540","-0.520","0.530","1.420","0.520","1.540","12","149","0.360","73","13","-1.900","12","241","1.720","285","73","1","195","90","163","4.1","D","A"
"S201008161254A","2010-08-16","12:54:47","5","38.36","14.95","10.00","4.7","0.0","SICILYITALY            ","ING","0","0","0","0","0","0","16","21","35","1","2.2","0.3","38.34","0.01","14.76","0.02","10.000","0.000","FIX ","1.1","D-S201008161254A","23","-0.320","0.040","-0.990","0.030","1.310","0.040","0.220","0.120","-0.220","0.130","-0.160","0.030","1.350","8","85","-0.290","72","329","-1.060","16","177","1.210","221","73","-6","312","85","-163","4.7","D","A"
"C201008221023A","2010-08-22","10:23:00","2","37.42","20.21","10.00","5.4","0.0","IONIANSEA               ","ING","0","0","0","5","5","40","20","29","35","1","4.4","0.3","37.35","0.02","20.03","0.02","12.900","0.800","FREE","1.8","D-C201008221023A","24","1.400","0.070","-0.460","0.060","-0.940","0.050","1.880","0.180","-1.860","0.160","0.980","0.040","2.930","60","39","0.280","4","136","-3.210","30","229","3.070","331","16","105","135","75","86","5.6","D","A"
"S201008280708A","2010-08-28","07:08:00","0","42.85","12.66","15.00","4.0","0.0","CENTRALITALY            ","ING","0","0","0","0","0","0","12","13","35","1","2.3","0.4","42.81","0.06","12.61","0.06","10.000","0.000","FIX ","1.0","D-S201008280708A","22","-1.910","0.100","0.210","0.130","1.710","0.120","-0.610","0.600","-0.270","0.720","-0.180","0.100","1.740","3","85","0.360","16","176","-2.100","74","343","1.920","159","44","-113","9","50","-70","4.1","D","A"
"S201009050707A","2010-09-05","07:07:23","0","44.11","12.17","15.00","3.7","0.0","NORTHERNITALY           ","ING","0","0","0","0","0","0","5","5","30","1","0.9","1.0","44.36","0.07","12.11","0.08","22.200","2.100","FREE","1.0","D-S201009050707A","22","1.090","0.230","0.220","0.180","-1.310","0.200","-0.500","0.130","0.280","0.160","0.050","0.120","1.340","66","192","0.010","23","353","-1.350","7","86","1.340","200","43","125","336","56","62","4.0","D","A"
"S201009171017A","2010-09-17","10:17:00","5","38.08","39.04","2.00","4.7","0.0","TURKEY                   ","ING","0","0","0","0","0","0","13","18","35","1","0.7","1.5","37.97","0.05","39.09","0.08","12.000","0.000","FIX ","1.1","D-S201009171017A","23","-0.350","0.120","-2.150","0.130","2.500","0.070","0.850","0.460","-0.010","0.270","0.370","0.090","2.530","1","275","-0.020","69","8","-2.510","21","184","2.520","322","74","-165","227","76","-16","4.9","D","A"
